map,pc
Antigua and Barbuda,Antigua & Barbuda
Bosnia and Herzegovina,Bosnia-Herzegovina
Brunei Darussalam,Brunei
Czech Republic,Czechia
Dem. Rep. Korea,Korea (North)
Democratic Republic of the Congo,Congo (Dem. Rep.)
eSwatini,Eswatini
Faeroe Islands,Faroe Islands
Falkland Islands,Falkland Islands (Malvinas)
Federated States of Micronesia,Micronesia
French Southern and Antarctic Lands,French Southern Territories
Indian Ocean Territories,Cocos Islands
Lao PDR,Laos
Macedonia,North Macedonia
Pitcairn Islands,Pitcairn
Republic of Korea,Korea (South)
Republic of the Congo,Congo
Russian Federation,Russia
Saint Helena,"Saint Helena, Ascension and Tristan da Cunha"
Saint Pierre and Miquelon,Saint Pierre & Miquelon
Saint-Barthélemy,Saint Barthélemy
Saint-Martin,Saint Martin
São Tomé and Principe,Sao Tome and Principe
Sint Maarten,Sint Maarten (Dutch part)
South Georgia and the Islands,S. Georgia and S. Sandwich Islands
The Gambia,Gambia
United States,U.S.A.
United States Virgin Islands,Virgin Islands of the USA
Wallis and Futuna Islands,Wallis & Futuna
Ashmore and Cartier Islands,Ashmore and Cartier Islands
Heard I. and McDonald Islands,Heard I. and McDonald Islands
Northern Cyprus,Northern Cyprus
Republic of Cabo Verde,Republic of Cabo Verde
Siachen Glacier,Siachen Glacier
Somaliland,Somaliland